max_pool,bn_fw_inf,unrolled_elementwise,elementwise_grid_stride,sgemm_128x64_nn,sgemm_64x64_nn
19712,17056,2656,57280,11968,6368
19423,6048,2463,65919,30752,6624
18912,3776,2207,63296,30367,6625
19232,6015,2464,64224,11936,6656
19232,3488,2145,65504,30144,6400
19040,5632,2464,67551,30528,6656
19456,3455,2208,62431,12033,6496
19104,17183,2400,65823,30400,6624
18976,6048,2144,64704,30432,6944
19200,3424,2464,67423,11936,6943
19168,5920,2208,62752,30079,6944
19008,3488,2464,67135,30240,6944
19264,5920,2144,58528,12000,6912
19231,3424,2496,60735,30527,6976
19263,16768,2207,59808,30944,6944
19039,6336,2400,64031,12000,6944
19071,3520,2177,69344,30431,6879
19040,6144,2496,61792,30720,6880
19039,3488,2207,57344,12064,6880
19104,5856,2400,63583,29856,6912
19071,3455,2145,65823,30176,6848
19168,16960,2463,64608,12191,6880
19296,6112,2208,66335,30111,6880
19136,3488,2400,66016,30272,6912
19200,6016,2176,56864,12096,7647
19232,3552,2464,62912,30208,7712
19040,5824,2240,63295,30623,7649
19040,3456,2400,67008,12000,7648
19136,16576,2175,67136,30208,7649
19168,5951,2464,65696,30592,7648
18880,3520,2336,61631,12096,7648
18975,6176,2400,60223,30144,7648
19231,3424,2176,63488,30592,7008
19136,5889,2464,64096,12032,7040
19040,3392,2240,58592,30079,7008
18912,16768,2400,63903,30176,7040
18976,6048,2112,58752,12032,6976
19168,3424,2464,64320,30560,7072
19136,5952,2208,68928,30623,7008
19264,3456,2400,62816,11968,7072
19104,5760,2112,60768,30143,6880
19040,3456,2496,62016,30784,6912
19200,16671,2239,69471,12096,6944
19168,6240,2431,62400,30272,6912
19232,3456,2176,64064,30528,6913
19072,6143,2464,69024,12000,6943
19104,3520,2208,69568,30304,6848
19392,5760,2400,64352,30496,6911
19232,3424,2112,66848,12032,7712
19200,16448,2465,59071,30336,7744
19200,6336,2208,64992,30463,7616
19104,3456,2464,61215,12000,7744
19040,6080,2208,59584,30080,7616
19009,3424,2528,66207,30560,7744
19040,6209,2241,65183,12064,7584
19072,3456,2816,60927,30176,7744
19232,16544,2144,62271,30368,6880
19104,6016,2528,59104,12064,6912
19200,3424,2112,66880,30176,6880
19136,6112,2400,66080,30560,6880
19072,3392,2144,66368,12160,6880
19072,6240,2464,58144,30592,6815
19296,3424,2209,64128,30495,6912
19168,16640,2464,68576,11936,6944
19200,6336,2144,57792,30144,6943
18944,3455,2495,65088,30432,6944
19168,5952,2271,64799,11935,6976
19264,3488,2464,60000,30528,7008
19040,5919,2112,66528,30400,6944
18848,3424,2463,64672,12065,6944
19008,16800,2208,63583,30240,6944
19104,5984,2527,69760,30432,6976
19040,3488,2112,64479,12000,6976
19072,5951,2528,60287,30303,6944
19008,3392,2208,66431,30496,7007
19008,5696,2432,61696,12032,6944
19072,3488,2112,59935,30304,7008
19328,16736,2496,68512,30527,6976
19328,5920,2240,66591,12065,6976
19136,3488,2400,60192,30304,6976
19040,6112,2145,69023,30752,7008
19168,3392,2496,63808,12032,7072
19296,5952,2240,60991,30272,7008
18976,3520,2400,62911,30528,7040
19327,16896,2144,57952,12032,7072
19072,6080,2464,66848,30464,7040
19072,3520,2209,64415,30592,7008
19328,5985,2464,67071,11968,7008
19136,3456,2111,59360,30176,6976
19232,5888,2560,66431,30591,6975
19231,3488,2209,63136,12000,6976
19104,16992,2400,58143,30111,6944
19040,6048,2143,63679,30240,6944
18944,3489,2464,64255,12031,6944
19232,6048,2209,58911,30048,7008
19136,3520,2433,66528,30719,6976
19360,6209,2144,65695,12063,7744
19360,3424,2496,62176,30176,7808
18912,17376,2208,67007,30560,7776
19136,6016,2400,59423,12096,7776
19360,3552,2144,64768,30144,7744
19296,6145,2464,60160,30560,7808
18912,3488,2240,63872,12032,7776
19136,5952,2432,65696,30367,7808
19264,3489,2144,63808,30432,6624
18945,17024,2464,57247,12160,6592
19296,6208,2240,62495,30079,6656
19103,3456,2400,62240,30336,6656
19168,5952,2143,60704,11967,6656
19264,3423,2528,61823,30304,6656
19199,6016,2207,72256,30304,6592
19008,3424,2400,62495,12000,6592
19296,16832,2144,62272,30368,7008
19232,6176,2528,61664,30208,6976
19360,3455,2208,64256,12032,7008
19104,5952,2432,69087,30336,7008
19168,3488,2273,62656,30496,6976
19264,6112,2432,61119,12095,6976
19168,3424,2176,64512,30303,6976
19360,16352,2432,62464,30624,6912
19104,6112,2112,59232,12000,6944
19103,3455,2528,65535,30304,6944
19232,6048,2207,64640,30655,6944
19136,3456,2400,62560,12064,6912
19167,5856,2112,63904,30176,6880
19168,3456,2464,61407,30656,6943
19168,16608,2175,64447,12128,6880
19199,6208,2400,62047,30368,6944
19231,3424,2176,61664,30400,7839
19008,6080,2496,66048,12032,7808
19168,3520,2208,61120,29984,7839
18976,5824,2400,64928,30464,7680
19232,3488,2208,63392,12032,7776
19392,17119,2464,60160,30240,7808
19008,6144,2207,63552,30463,7839
19232,3392,2464,65472,12128,7840
19200,5920,2112,61088,30208,6655
19040,3488,2465,63776,30784,6720
19360,5888,2240,64768,12032,6656
19232,3520,2464,64000,30175,6688
19168,16864,2112,60288,30304,6624
19232,6240,2464,65888,12032,6720
19296,3487,2208,65951,30144,6656
18912,6080,2400,62496,30688,6720
19104,3488,2144,62688,11968,7744
19296,5760,2464,65215,30240,7776
19231,3425,2239,63359,30559,7776
19168,16576,2432,64511,12032,7775
19168,6016,2144,64832,30496,7712
19296,3456,2464,60704,30592,7808
18944,6048,2208,66560,12064,7744
19136,3424,2400,63039,30367,7744
19232,5728,2144,64511,30432,7072
19104,3456,2496,65759,12160,7040
19136,16992,2208,59711,30048,7040
19200,6048,2431,70816,30144,7009
19296,3392,2176,59712,12063,7008
19040,6112,2496,58943,30175,7040
19232,3456,2240,66720,30912,7072
19168,5856,2400,60767,12064,7008
19103,3520,2144,62208,30208,7712
19104,16544,2464,66303,30560,7776
19072,6240,2240,61920,12096,7712
19264,3456,2432,61791,30368,7744
19232,6048,2176,68096,30495,7744
19136,3424,2464,59103,12000,7776
19200,5952,2240,61471,30208,7744
19296,3520,2400,65471,30687,7712
19200,16320,2176,60544,12000,6976
19168,6208,2464,60928,30496,7040
19104,3552,2240,66207,30271,7008
19328,5984,2464,59040,11872,7072
19392,3456,2176,59584,30143,7008
19231,6016,2464,70495,30432,7008
19168,3456,2240,60192,12064,6976
19296,16991,2432,58399,30208,7039
19328,6016,2143,66719,30368,7008
19104,3456,2463,60832,12128,6976
19296,6080,2207,60192,30400,6816
19360,3488,2432,65728,30495,6976
19264,5856,2144,59295,11968,6944
18944,3392,2464,57120,30272,7008
19264,16704,2400,68767,30464,6912
19071,6144,2432,60639,11967,7007
19135,3391,2144,66655,30432,6976
19200,5887,2112,66527,30240,6816
19136,3456,2400,57663,12160,6752
19104,5760,2176,64288,30560,6816
19200,3457,2464,62879,30048,6816
19232,16832,2240,58111,11936,6848
18976,6080,2400,64512,30368,6752
19104,3456,2111,61183,30528,6816
19168,6240,2496,66751,12064,7680
18976,3488,2271,59296,30143,7711
19231,5824,2432,62944,30559,7711
18976,3391,2144,67040,12000,7712
19232,16672,2496,63008,30432,7680
19264,6272,2240,61056,29888,7713
19329,3488,2400,68224,12160,7681
19072,6048,2176,65728,30592,7680
19072,3520,2464,55584,30367,7007
19040,5953,2208,64448,12000,7039
19039,3424,2400,64672,30112,6976
19328,16703,2144,62623,30496,6944
19231,6240,2528,62015,11999,7040
19296,3488,2240,57440,29824,6944
19296,5952,2368,62208,30495,6944
19136,3424,2144,70208,12032,7008
19200,5920,2463,61920,30080,7680
18816,3456,2240,59040,30464,7712
19072,16704,2432,65824,12064,7744
19200,6144,2176,62016,30271,7680
