Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
3360,2367,5568,1952,2560,1408
11296,2080,8000,11104,2144,1344
5568,2656,6401,2048,2145,1440
8000,2208,5120,11296,2176,1344
6401,3488,6656,1919,2111,1408
3232,1440,5600,11040,2144,1344
11296,2048,5024,1920,2176,1440
5120,1440,6656,11264,2144,1345
6656,2560,5600,1920,2304,1440
5600,2144,4960,11104,2176,1344
3359,2145,6688,1889,2144,1407
11232,2176,5664,11232,2144,1376
5024,2111,5055,1984,2144,1408
6656,2144,6656,11104,2144,1376
5600,2176,5504,1888,2145,1440
3296,2144,5024,11200,2176,1312
11040,2304,6720,1952,2272,1408
4960,2176,5504,11040,2176,1343
6688,2144,5216,2112,2143,1409
5664,2144,6656,11296,2144,1376
3296,2144,5504,2016,2112,1440
11264,2144,4960,11072,2144,1344
5055,2145,6752,1920,2144,1440
6656,2176,5632,11232,2144,1376
5504,2272,5120,1952,2240,1408
3424,2176,6720,11105,2176,1376
11040,2143,5536,1952,2528,1409
5024,2144,5087,11296,2175,1312
6720,2112,6816,1952,2144,1472
5504,2144,5536,11104,2176,1344
3264,2144,5088,2080,2177,1440
11264,2144,6688,11264,2112,1344
5216,2240,5631,2048,2144,1408
6656,2176,5024,11071,2144,1376
5504,3968,6752,1984,2272,1439
3232,4640,5536,11232,2113,1344
11071,2048,5056,1952,2144,1440
4960,1408,6752,11072,2176,1344
6752,1344,5504,1920,2144,1440
5632,1344,5120,11296,2112,1377
3232,3232,6752,1920,2176,1407
11231,1376,5472,11072,2144,1344
5120,1856,5056,1952,2272,1408
6720,1952,6752,11327,2145,1344
5536,1376,5471,1984,2176,1472
3264,2464,5024,11072,2176,1343
11104,1376,6784,1952,2112,1409
5087,3040,5536,11296,2112,1376
6816,1376,5087,1984,2144,1440
5536,2080,6688,11104,2144,1344
3296,1344,5408,1920,2272,1408
11264,2528,5056,11201,2144,1343
5088,2175,6816,2080,2496,1440
6688,2144,5473,11072,2176,1344
5631,2176,5056,1951,2144,1440
3264,2177,6784,11200,2145,1312
11072,2112,5472,1984,2112,1440
5024,2144,5280,11103,2144,1344
6752,2144,6624,1920,2176,1440
5536,2272,5472,11232,2144,1377
3296,2113,5056,1888,2304,1440
11265,2144,6720,11104,2144,1344
5056,2176,5505,1952,2144,1440
6752,2144,5216,11167,2112,1344
5504,2112,6720,2112,2144,1407
3168,2176,5536,11136,2176,1376
11104,2144,5024,2112,2144,1472
5120,2272,6656,11296,2176,1344
6752,2145,5504,1952,2272,1408
5472,2176,5088,11136,2143,1344
3200,2176,6720,1920,2176,1471
11296,2112,5504,11263,2144,1312
5056,2112,5184,1952,2113,1440
6752,2144,6592,11008,2144,1344
5471,2144,5472,2017,2176,1440
3296,2272,5024,11232,2112,1344
11040,2144,6783,1984,2272,1408
5024,4223,5792,11072,2144,1376
6784,4672,5024,1920,2528,1440
5536,1952,6752,11296,2144,1376
3360,1440,5504,1920,2144,1408
11264,1344,5088,11104,2112,1312
5087,1343,6656,1984,2145,1440
6688,3296,5536,11201,2112,1344
5408,1376,5184,1920,2176,1407
3392,1856,6687,11041,2176,1376
11104,1952,5600,1952,2304,1408
5056,1376,5216,11168,2144,1344
6816,2528,6784,1951,2176,1440
5473,1408,5472,11072,2144,1375
3296,3136,5024,1952,2145,1407
11232,1344,6752,11232,2144,1312
5056,2080,5600,1920,2112,1408
6784,1344,5056,11104,2176,1344
5472,2496,6624,1889,2304,1408
3232,2176,5408,,2144,1343
11104,2144,5024,,2143,1472
5280,2145,6656,,2176,1344
6624,2112,5409,,2112,1408
5472,2144,5056,,2112,1344
3296,2176,6656,,2144,1408
11200,2144,5536,,2144,1376
5056,2304,5056,,2272,1408
6720,2144,6752,,2112,1344
5505,2144,5536,,2528,1407
3296,2112,4992,,2112,1376
11040,2144,6880,,2176,1440
5216,2176,5569,,2144,1376
6720,2144,5088,,2176,1440
5536,2176,6720,,2175,1375
3264,2272,5536,,2144,1409
11296,2143,5056,,2144,1312
5024,2176,6783,,2240,1408
6656,2144,5472,,2144,1312
5504,2113,5056,,2112,1440
3232,2144,6784,,2176,1376
11072,2176,5440,,2144,1408
5088,2112,5088,,2209,1344
6720,2272,6816,,2144,1407
5504,2144,5536,,2144,1344
3265,4192,4960,,2272,
11232,4768,6815,,2112,
5184,1920,5472,,2144,
6592,1408,5088,,2176,
5472,1344,6815,,2144,
3392,1344,5472,,2112,
11105,3264,5056,,2112,
5024,1408,6688,,2112,
6783,1889,5599,,2272,
5792,1953,5088,,2144,
3232,1344,6656,,2528,
11296,2432,5536,,2144,
5024,1376,5089,,2145,
6752,3264,6688,,2112,
5504,1344,5472,,2144,
3264,2144,5024,,2176,
11104,1312,6816,,2144,
5088,2528,5536,,2112,
6656,2144,4992,,2272,
5536,2144,6720,,2144,
3263,2112,5536,,2112,
11264,2145,4993,,2175,
5184,2112,6719,,2144,
6687,2176,5536,,2145,
5600,2176,5024,,2144,
3232,2304,6784,,2144,
11071,2144,5472,,2271,
5216,2176,4992,,2144,
6784,2144,6592,,2144,
5472,2145,5536,,2145,
3360,2144,5056,,2144,
11232,2112,6720,,2112,
5024,2176,5536,,2144,
6752,2304,5087,,2144,
5600,2144,6784,,2240,
3200,2143,5568,,2144,
11072,2176,5056,,2529,
5056,2112,6752,,2112,
6624,2112,5440,,2144,
5408,2144,5088,,2143,
3296,2144,6879,,2144,
11296,2272,5568,,2177,
5024,2112,4993,,2144,
6656,4224,6784,,2272,
5409,4640,5504,,2272,
3232,1888,5183,,2176,
11072,1440,6752,,2144,
5056,1345,5536,,2112,
6656,1376,5088,,2176,
5536,3297,6752,,2144,
3328,1344,5472,,2176,
11327,1856,4992,,2176,
5056,1984,6720,,2303,
6752,1345,5664,,2112,
5536,2528,5056,,2176,
3296,1408,6688,,2112,
11072,3071,5503,,2144,
4992,1344,5280,,2144,
6880,2048,6656,,2113,
5569,1312,5537,,2144,
3231,2528,,,2272,
11296,2112,,,2112,
5088,2176,,,2528,
6720,2144,,,2144,
5536,2176,,,2144,
3200,2175,,,2144,
11104,2144,,,2144,
5056,2144,,,2112,
6783,2240,,,2144,
5472,2144,,,2144,
3232,2112,,,2272,
11201,2176,,,2111,
5056,2144,,,2112,
6784,2209,,,2144,
5440,2144,,,2176,
3232,2144,,,2144,
11072,2272,,,2113,
5088,2112,,,2112,
6816,2144,,,2272,
5536,2176,,,2113,
3232,2144,,,2144,
11200,2112,,,2144,
4960,2112,,,2145,
6815,2112,,,2144,
5472,2272,,,2144,
3296,2144,,,2144,
11103,4192,,,2272,
5088,4863,,,2144,
6815,1952,,,2528,
5472,1440,,,2113,
3264,1344,,,2176,
11232,1344,,,2240,
5056,3264,,,2175,
6688,1376,,,2144,
5599,1888,,,2144,
3296,1984,,,2144,
11104,1376,,,2272,
5088,2400,,,2176,
