label,name,xval,yval
STEM,bert_medium,53439.95977,0.449089541
STEM,bloom,22879.26701,0.193053215
STEM,deit,182277.6591,0.540254594
STEM,gemma,15257.29775,1.590124937
STEM,gpt2,46464.68668,0.371899963
STEM,resnet50,29248.16074,0.248459566
Random,bert_medium,993.8290771,1.424924022
Random,bloom,1034.650974,3.604780268
Random,deit,1008.116844,1.893346291
Random,gemma,998.7252625,3.397217415
Random,gpt2,999.3957803,0.939064799
Random,resnet50,996.2513926,3.128375294
STEM-mean,mean,31719.05728,0.565480303
Random-mean,mean,1004.972787,2.397951348
