label,name,xval,yval
PKA,bert-infer,4081.384406,7.966764051
PKA,bert-train,25043.99781,43.78116299
PKA,dlrm-infer,748.3558967,5.393220349
PKA,dlrm-train,1448.959004,6.477500309
PKA,resnet-infer,1997.112719,12.05810071
PKA,resnet-train,4599.485819,21.26910294
PKA,rnnt-train,5161.776336,87.87324145
PKA,ssdrn34-infer,3315.621351,13.22052756
PKA,ssdrn34-train,5184.209446,24.81312427
PKA,unet-infer,374.3889041,52.21738535
PKA,unet-train,751.5859472,46.79257859
PKA-mean,PKA mean,1425.006451,29.26024623
STEM,bert-infer,923.3191376,0.287730164
STEM,bert-train,1073.416483,0.218806571
STEM,dlrm-infer,99.31478921,0.735441318
STEM,dlrm-train,115.1742314,0.261927721
STEM,resnet-infer,205.9156761,0.185882276
STEM,resnet-train,170.9619704,0.176358822
STEM,rnnt-train,323.7485119,0.725547319
STEM,ssdrn34-infer,91.70712889,0.538580256
STEM,ssdrn34-train,62.70491478,0.376755777
STEM,unet-infer,48.87121299,0.230580256
STEM,unet-train,54.06887866,0.193044777
STEM-mean,STEM+ROOT mean,109.5951164,0.357332296
Sieve,bert-infer,2216.655686,5.124075351
Sieve,bert-train,2382.266057,24.56923492
Sieve,dlrm-infer,162.3468933,22.01015405
Sieve,dlrm-train,165.6519433,1.506074982
Sieve,resnet-infer,560.8344414,14.93567559
Sieve,resnet-train,496.2078184,25.14313869
Sieve,rnnt-train,788.5462262,18.0084
Sieve,ssdrn34-infer,574.766738,22.31015656
Sieve,ssdrn34-train,464.5714056,35.32290978
Sieve,unet-infer,318.3316907,54.8282395
Sieve,unet-train,337.9372748,37.49010328
Sieve-mean,Sieve mean,391.0879602,23.74983297
Photon,bert-infer,1476.431372,19.69367258
Photon,bert-train,1537.339582,16.87845289
Photon,dlrm-infer,104.0293514,12.16382625
Photon,dlrm-train,122.0231888,5.536688106
Photon,resnet-infer,197.1282463,1.78530913
Photon,resnet-train,157.1437831,0.183596965
Photon,rnnt-train,639.6486648,2.313094013
Photon,ssdrn34-infer,187.6111554,15.4828354
Photon,ssdrn34-train,158.1082071,3.509241591
Photon,unet-infer,90.78048754,15.68591342
Photon,unet-train,95.83664782,15.09854087
Photon-mean,Photon mean,168.6072443,9.848288292
